Valid from,§ 23 (1) 1,§ 23 (1) 2,§ 23 (1) 3,BAföGÄndg,Article,Key,Comment
2024-07-19,353,850,770,29. BAföGÄndg,1,29. BAföGÄndg|1,
2022-07-16,330,805,730,27. BAföGÄndg,1,27. BAföGÄndg|1,
2021-08-01,,665,605,26. BAföGÄndg,3,26. BAföGÄndg|3,
2020-08-01,,630,570,26. BAföGÄndg,2,26. BAföGÄndg|2,
2019-07-09,,610,555,26. BAföGÄndg,1,26. BAföGÄndg|1,
2015-01-01,290,570,520,25. BAföGÄndg,1,25. BAföGÄndg|1,
2010-10-24,,535,485,23. BAföGÄndg,1,23. BAföGÄndg|1,
2008-08-01,,520,470,22. BAföGÄndg,15,22. BAföGÄndg|15,
2007-12-24,255,,,22. BAföGÄndg,1,22. BAföGÄndg|1,
2002-01-01,255,480,435,22. BaföGÄndg (previous value),,,"§ 23 (1) 1 is not known, same as 22. BaföGÄndg"
